"date","material","colada","prod"
2023-01-16,303661,"B00011557",129.858
2023-01-16,303661,"B00011558",135.504
2023-01-16,303661,"B00011559",135.504
2023-01-16,303661,"B00011560",129.858
2023-01-16,303661,"B00011561",138.327
2023-01-16,303661,"B00011562",129.72
2023-01-16,303661,"B00011563",135.36
2023-01-16,303661,"B00011564",132.54
2023-01-16,303661,"B00011565",135.408
2023-01-16,303661,"B00011566",129.766
2023-01-17,303475,"B00011592",100.27
2023-01-17,303475,"B00011593",149.46
2023-01-17,303475,"B00011594",93.06
2023-01-17,303475,"B00011595",132.634
2023-01-17,303475,"B00011596",141.1
2023-01-17,303475,"B00011597",132.412
2023-01-17,303475,"B00011598",129.812
2023-01-17,303475,"B00011599",126.9
2023-01-17,303475,"B00011600",126.9
2023-01-17,303475,"B00011601",126.9
2023-01-17,303480,"B00011588",122.23
2023-01-17,303480,"B00011589",132.72
2023-01-17,303480,"B00011590",124.425
2023-01-17,303480,"B00011591",134.785
2023-01-17,303661,"B00011578",118.482
2023-01-17,303661,"B00011579",124.124
2023-01-17,303661,"B00011580",132.587
2023-01-17,303661,"B00011581",132.587
2023-01-17,303661,"B00011582",124.124
2023-01-17,303661,"B00011583",141.1
2023-01-17,303661,"B00011584",135.456
2023-01-17,303661,"B00011585",118.524
2023-01-17,303661,"B00011586",141.1
2023-01-17,303661,"B00011587",135.456
2023-01-18,303551,"B00011615",129.32
2023-01-18,303551,"B00011616",110.7
2023-01-18,303551,"B00011617",129.6
2023-01-18,303551,"B00011618",129.6
2023-01-18,303551,"B00011619",129.504
2023-01-18,303551,"B00011620",124.108
2023-01-18,303551,"B00011621",129.504
2023-01-18,303551,"B00011622",129.504
2023-01-18,303551,"B00011623",126.806
2023-01-18,303551,"B00011624",126.806
2023-01-18,303551,"B00011625",126.806
2023-01-18,303551,"B00011626",129.504
2023-01-18,303551,"B00011627",134.72
2023-01-18,303661,"B00011602",124.168
2023-01-18,303661,"B00011603",135.456
2023-01-18,303661,"B00011604",124.168
2023-01-18,303661,"B00011605",118.524
2023-01-18,303661,"B00011606",126.99
2023-01-18,303661,"B00011607",129.812
2023-01-18,303661,"B00011608",121.346
2023-01-18,303661,"B00011609",129.812
